name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group,console_type,rating_sem
Gun,GC,2005,Shooter,0.14,0.04,0.0,0.0,77.0,86.0,M,0.18000000000000002,Nintendo,Home console,mature
Gun,PS2,2005,Shooter,0.98,0.04,0.0,0.16,77.0,87.0,M,1.18,Playstation,Home console,mature
Gun,X360,2005,Shooter,0.24,0.01,0.0,0.02,75.0,75.0,M,0.27,Xbox,Home console,mature
Gun,XB,2005,Shooter,0.38,0.12,0.0,0.02,79.0,78.0,M,0.52,Xbox,Home console,mature
Gun Metal,XB,2002,Shooter,0.08,0.02,0.0,0.0,63.0,76.0,T,0.1,Xbox,Home console,teen
Gun Showdown,PSP,2006,Action,0.05,0.0,0.0,0.01,73.0,76.0,M,0.060000000000000005,Playstation,Portable console,mature
GunGriffon,SAT,1995,Simulation,0.0,0.0,0.19,0.0,70.0,75.0,Pending,0.19,Other,Home console,pending
GunGriffon Blaze,PS2,2000,Simulation,0.05,0.04,0.0,0.01,73.0,80.0,T,0.09999999999999999,Playstation,Home console,teen
GunGriffon II,SAT,1998,Simulation,0.0,0.0,0.06,0.0,70.0,75.0,Pending,0.06,Other,Home console,pending
GunGriffon: Allied Strike,XB,2004,Simulation,0.02,0.01,0.0,0.0,55.0,80.0,T,0.03,Xbox,Home console,teen
GunParade Orchestra: Ao no Shou,PS2,2006,Adventure,0.0,0.0,0.01,0.0,70.0,80.0,Pending,0.01,Playstation,Home console,pending
GunParade Orchestra: Midori no Shou,PS2,2006,Adventure,0.0,0.0,0.02,0.0,70.0,80.0,Pending,0.02,Playstation,Home console,pending
GunParade Orchestra: Shiro no Shou,PS2,2006,Adventure,0.0,0.0,0.07,0.0,70.0,80.0,Pending,0.07,Playstation,Home console,pending
GunPey,PSP,2006,Puzzle,0.05,0.0,0.0,0.01,62.0,75.0,E10+,0.060000000000000005,Playstation,Portable console,everyone 10 and older
GunPey DS,DS,2006,Puzzle,0.04,0.0,0.0,0.0,70.0,74.0,E,0.04,Nintendo,Portable console,everyone
Gunbird,SAT,1995,Shooter,0.0,0.0,0.06,0.0,70.0,75.0,Pending,0.06,Other,Home console,pending
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010,Shooter,0.06,0.01,0.0,0.01,65.0,71.5,Pending,0.07999999999999999,Nintendo,Home console,pending
Gundam Assault Survive,PSP,2010,Action,0.0,0.0,0.17,0.0,68.0,75.0,Pending,0.17,Playstation,Portable console,pending
Gundam Battle Assault,PS,1998,Fighting,0.13,0.09,0.0,0.02,61.0,78.0,T,0.24,Playstation,Home console,teen
Gundam Battle Chronicle,PSP,2007,Action,0.0,0.0,0.22,0.0,68.0,75.0,Pending,0.22,Playstation,Portable console,pending
Gundam Battle Online,DC,2001,Action,0.0,0.0,0.04,0.0,88.0,88.0,Pending,0.04,Other,Home console,pending
Gundam Battle Royale,PSP,2006,Action,0.0,0.0,0.12,0.0,68.0,75.0,Pending,0.12,Playstation,Portable console,pending
Gundam Battle Tactics,PSP,2005,Action,0.0,0.0,0.07,0.0,68.0,75.0,Pending,0.07,Playstation,Portable console,pending
Gundam Battle Universe,PSP,2008,Fighting,0.0,0.0,0.26,0.0,68.0,75.0,Pending,0.26,Playstation,Portable console,pending
Gundam Breaker,PS3,2013,Action,0.0,0.0,0.26,0.0,73.0,71.0,Pending,0.26,Playstation,Home console,pending
Gundam Breaker,PSV,2013,Action,0.0,0.0,0.09,0.0,71.0,76.0,Pending,0.09,Playstation,Portable console,pending
Gundam Breaker 2,PS3,2014,Action,0.0,0.0,0.14,0.0,73.0,71.0,Pending,0.14,Playstation,Home console,pending
